UN Region,year_smoothed,new_infections_smoothed
Central Africa,1990.0,18050.0
Central Africa,1990.0384615384614,18052.050358078588
Central Africa,1990.076923076923,18053.456759089906
Central Africa,1990.1153846153845,18055.822735956026
Central Africa,1990.1538461538462,18059.79364099602
Central Africa,1990.1923076923076,18066.431898358736
Central Africa,1990.2307692307693,18077.45633525434
Central Africa,1990.2692307692307,18095.566215382998
Central Africa,1990.3076923076924,18124.788235399315
Central Africa,1990.3461538461538,18170.607060552404
Central Africa,1990.3846153846155,18239.31318855203
Central Africa,1990.423076923077,18335.73997201395
Central Africa,1990.4615384615386,18459.212215914875
Central Africa,1990.5,18600.0
Central Africa,1990.5384615384614,18740.78778408513
Central Africa,1990.576923076923,18864.26002798605
Central Africa,1990.6153846153845,18960.68681144797
Central Africa,1990.6538461538462,19029.392939447596
Central Africa,1990.6923076923076,19075.21176460069
Central Africa,1990.7307692307693,19104.433784617002
Central Africa,1990.7692307692307,19122.54366474566
Central Africa,1990.8076923076924,19133.568101641264
Central Africa,1990.8461538461538,19140.20635900398
Central Africa,1990.8846153846155,19144.177264043974
Central Africa,1990.923076923077,19146.543240910094
Central Africa,1990.9615384615386,19147.949641921412
Central Africa,1991.0,19150.0
Central Africa,1991.0384615384614,19151.975799603002
Central Africa,1991.076923076923,19153.331058759362
Central Africa,1991.1153846153845,19155.61100010308
Central Africa,1991.1538461538462,19159.437508596162
Central Africa,1991.1923076923076,19165.834374782058
Central Africa,1991.2307692307693,19176.457923063273
Central Africa,1991.2692307692307,19193.909262096346
Central Africa,1991.3076923076924,19222.068663202976
Central Africa,1991.3461538461538,19266.221349259587
Central Africa,1991.3846153846155,19332.429072604686
Central Africa,1991.423076923077,19425.349427577083
Central Africa,1991.4615384615386,19544.331771699788
Central Africa,1991.5,19680.0
Central Africa,1991.5384615384614,19815.668228300216
Central Africa,1991.576923076923,19934.65057242292
Central Africa,1991.6153846153845,20027.570927395318
Central Africa,1991.6538461538462,20093.778650740413
Central Africa,1991.6923076923076,20137.931336797024
Central Africa,1991.7307692307693,20166.090737903654
Central Africa,1991.7692307692307,20183.542076936727
Central Africa,1991.8076923076924,20194.165625217942
Central Africa,1991.8461538461538,20200.562491403838
Central Africa,1991.8846153846155,20204.38899989692
Central Africa,1991.923076923077,20206.668941240638
Central Africa,1991.9615384615386,20208.024200396998
Central Africa,1992.0,20210.0
Central Africa,1992.0384615384614,20211.360692179427
Central Africa,1992.076923076923,20212.294031032394
Central Africa,1992.1153846153845,20213.86417931627
Central Africa,1992.1538461538462,20216.499416297356
Central Africa,1992.1923076923076,20220.904805274437
Central Africa,1992.2307692307693,20228.22102248697
Central Africa,1992.2692307692307,20240.239397481444
Central Africa,1992.3076923076924,20259.63219258318
Central Africa,1992.3461538461538,20290.039231093866
Central Africa,1992.3846153846155,20335.635116039073
Central Africa,1992.423076923077,20399.627435972896
