Gender,variable,value,age_cat
Men,16-24,9.1,1
Women,16-24,26.0,1
All adults,16-24,17.3,1
Men,25-34,15.3,2
Women,25-34,19.1,2
All adults,25-34,17.2,2
Men,35-44,15.1,3
Women,35-44,20.6,3
All adults,35-44,17.9,3
Men,45-54,13.2,4
Women,45-54,22.7,4
All adults,45-54,18.0,4
Men,55-64,14.9,5
Women,55-64,19.1,5
All adults,55-64,17.1,5
Men,65-74,7.3,6
Women,65-74,12.9,6
All adults,65-74,10.2,6
Men,75+,5.3,7
Women,75+,10.0,7
All adults,75+,8.1,7
Men,All  ,12.2,0
Women,All  ,19.1,0
All adults,All  ,15.7,0
