Species,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Culmen Length (mm) Offset,Culmen Depth (mm) Offset,Flipper Length (mm) Offset,Body Mass (g) Offset
Chinstrap,Dream,N72A1,46.9,16.6,192.0,2700.0,FEMALE,0.11768403485911216,-0.004108712403802617,0.0,0.0
Adelie,Biscoe,N29A1,36.4,17.1,184.0,2850.0,FEMALE,-0.05175589055457008,-0.027346116313113233,0.10472262614201056,0.0
Adelie,Biscoe,N25A1,36.5,16.6,181.0,2850.0,FEMALE,-0.014632774715808372,0.01091126669790321,0.05987130262185825,-0.012834230348442333
Adelie,Torgersen,N63A1,38.6,17.0,188.0,2900.0,FEMALE,-0.04200455028436534,-0.07764844584580133,0.02785420945014816,0.0
Adelie,Biscoe,N23A1,34.5,18.1,187.0,2900.0,FEMALE,0.028352617768222177,-0.1303345780919929,-0.015019979101705827,0.015518387419779844
Adelie,Dream,N50A1,33.1,16.1,178.0,2900.0,FEMALE,0.0,0.09293714852950408,-0.012834230348442333,-0.012834230348442333
Chinstrap,Dream,N85A1,43.2,16.6,187.0,2900.0,FEMALE,-0.06536913256233523,-0.16026283873612712,-0.10351178110914006,0.028352617768222177
Adelie,Biscoe,N51A1,37.9,18.6,193.0,2925.0,FEMALE,-0.015019979101705827,0.04157405250256219,-0.004108712403802617,-0.02785420945014816
Adelie,Dream,N29A2,37.5,18.9,179.0,2975.0,UNKNOWN,-0.029170319935923006,-0.03086685156297231,-0.02785420945014816,-0.04353521303437757
Adelie,Dream,N82A1,37.3,16.8,192.0,3000.0,FEMALE,0.014150340834217179,0.0068025542941008155,0.10708748936372114,0.0
Adelie,Dream,N28A1,37.0,16.9,185.0,3000.0,FEMALE,0.0,0.05510156573553204,0.0286878860543317,0.015681003584229414
Adelie,Torgersen,N72A1,39.0,17.1,191.0,3050.0,FEMALE,-0.028352617768222177,-0.08088751998211507,0.04671777842378899,-0.015518387419779844
Adelie,Torgersen,N32A1,35.9,16.6,190.0,3050.0,FEMALE,0.02187854851560822,-0.045187115673776757,0.014150340834217179,0.03070098268593524
Adelie,Dream,N81A1,32.1,15.5,188.0,3050.0,FEMALE,0.0,0.0,-0.13334312552758654,-0.03053836652148567
Adelie,Torgersen,N69A1,35.2,15.9,186.0,3050.0,FEMALE,0.03070098268593524,-0.1365940950803699,0.058356614308328725,0.04485132352015231
Adelie,Biscoe,N49A1,37.7,16.0,183.0,3075.0,FEMALE,-0.0879933936893601,-0.05214309494046765,-0.0747286655591145,-0.0455583456231915
Adelie,Dream,N27A1,36.0,18.5,186.0,3100.0,FEMALE,0.07402164345607531,0.06750529830217145,-0.04380309465173127,0.007728207681391042
Adelie,Biscoe,N18A1,37.9,18.6,172.0,3150.0,FEMALE,0.042451022502651425,0.0019229636505391223,0.0,-0.00756559151694125
Adelie,Torgersen,N66A1,36.2,17.2,187.0,3150.0,FEMALE,0.10472262614201056,-0.015019979101705827,0.0,0.05987130262185825
Adelie,Dream,N26A1,36.5,18.0,182.0,3150.0,FEMALE,-0.10132093584124735,0.03362125659972348,-0.022585570618647077,-0.060578324724897326
Adelie,Biscoe,N27A1,35.7,16.9,185.0,3150.0,FEMALE,-0.00756559151694125,-0.064814215497359,-0.08158723497301656,0.02187854851560822
Adelie,Biscoe,N55A1,38.1,17.0,181.0,3175.0,FEMALE,-0.057024529386071166,0.08153121985321532,-0.060578324724897326,-0.022585570618647077
Adelie,Dream,N78A1,35.6,17.5,191.0,3175.0,FEMALE,0.007728207681391042,0.04777159743394044,0.06173775752549482,0.07402164345607531
Chinstrap,Dream,N63A1,40.9,16.6,187.0,3200.0,FEMALE,0.038764982520950286,-0.0607055030935566,0.11888894141271045,-0.0747286655591145
Adelie,Biscoe,N17A2,40.5,17.9,187.0,3200.0,FEMALE,-0.05214309494046765,-0.02018017308651654,-0.07297341458765427,0.08970264704030473
Adelie,Biscoe,N60A1,39.7,17.7,193.0,3200.0,FEMALE,-0.029170319935923117,0.11017037944195884,-0.1445818351518977,-0.09040966914334392
Adelie,Torgersen,N39A1,34.6,17.2,189.0,3200.0,FEMALE,-0.02785420945014816,-0.040180346661555566,0.014150340834217179,0.03602888934982529
Adelie,Torgersen,N7A1,41.1,17.6,182.0,3200.0,FEMALE,-0.16026283873612712,-0.10927967022335816,0.07402164345607531,-0.036735911452864145
Adelie,Torgersen,N2A1,40.3,18.0,195.0,3250.0,FEMALE,0.04671777842378899,-0.0841152079862778,0.08153121985321532,0.10472262614201056
Adelie,Dream,N21A1,39.5,16.7,178.0,3250.0,FEMALE,0.014150340834217179,0.02593124579960915,0.0,0.000387204385897455
Chinstrap,Dream,N94A1,45.2,16.6,191.0,3250.0,FEMALE,0.06328998485372028,0.0679353024568734,0.015518387419779844,0.051048868451531115
Chinstrap,Dream,N66A1,46.1,18.2,178.0,3250.0,FEMALE,-0.041612249383838895,-0.14585296551177274,0.015518387419779844,-0.05175589055457008
Chinstrap,Dream,N88A1,51.5,18.7,187.0,3250.0,MALE,0.07274557365361956,0.06504523582518051,0.0881879587267752,-0.014632774715808372
Adelie,Torgersen,N71A1,38.8,17.6,191.0,3275.0,FEMALE,-0.057024529386071166,0.094651992022179,-0.0676614823602475,-0.10132093584124735
