type,year,spend
Internet,2012.0454545454545,56830215579.76579
Internet,2012.090909090909,56868849522.84745
Internet,2012.1363636363637,56931821931.02894
Internet,2012.1818181818182,57033722140.069954
Internet,2012.2272727272727,57196690580.97857
Internet,2012.2727272727273,57452496045.65113
Internet,2012.3181818181818,57842468689.43299
Internet,2012.3636363636363,58411282437.68579
Internet,2012.409090909091,59189665968.06585
Internet,2012.4545454545455,60166733397.17691
Internet,2012.5,61268500000.0
Internet,2012.5454545454545,62370266602.82309
Internet,2012.590909090909,63347334031.93416
Internet,2012.6363636363637,64125717562.31421
Internet,2012.6818181818182,64694531310.56701
Internet,2012.7272727272727,65084503954.34888
Internet,2012.7727272727273,65340309419.02143
Internet,2012.8181818181818,65503277859.930046
Internet,2012.8636363636363,65605178068.97106
Internet,2012.909090909091,65668150477.15256
Internet,2012.9545454545455,65706784420.23421
Internet,2013.0,65767000000.0
Internet,2013.0454545454545,65841511509.340065
Internet,2013.090909090909,65889317632.3064
Internet,2013.1363636363637,65967240475.507965
Internet,2013.1818181818182,66093333064.95485
Internet,2013.2272727272727,66294992246.08585
Internet,2013.2727272727273,66611529118.176506
Internet,2013.3181818181818,67094086130.87224
Internet,2013.3636363636363,67797943356.53616
Internet,2013.409090909091,68761124844.11215
Internet,2013.4545454545455,69970160265.72975
Internet,2013.5,71333500000.0
Internet,2013.5454545454545,72696839734.27025
Internet,2013.590909090909,73905875155.88785
Internet,2013.6363636363637,74869056643.46384
Internet,2013.6818181818182,75572913869.12776
Internet,2013.7272727272727,76055470881.8235
Internet,2013.7727272727273,76372007753.91415
Internet,2013.8181818181818,76573666935.04515
Internet,2013.8636363636363,76699759524.49203
Internet,2013.909090909091,76777682367.6936
Internet,2013.9545454545455,76825488490.65994
Internet,2014.0,76900000000.0
Internet,2014.0454545454545,77012308046.36478
Internet,2014.090909090909,77084364193.42415
Internet,2014.1363636363637,77201813999.02689
Internet,2014.1818181818182,77391868025.67699
Internet,2014.2272727272727,77695820379.68152
Internet,2014.2727272727273,78172923018.21048
Internet,2014.3181818181818,78900260792.40775
Internet,2014.3636363636363,79961155017.1278
Internet,2014.409090909091,81412917733.01492
Internet,2014.4545454545455,83235245684.63351
Internet,2014.5,85290150000.0
Internet,2014.5454545454545,87345054315.36649
Internet,2014.590909090909,89167382266.98508
Internet,2014.6363636363637,90619144982.8722
Internet,2014.6818181818182,91680039207.59225
Internet,2014.7272727272727,92407376981.78952
Internet,2014.7727272727273,92884479620.31848
Internet,2014.8181818181818,93188431974.32301
Internet,2014.8636363636363,93378486000.97311
Internet,2014.909090909091,93495935806.57585
