season,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,position,final_points,final_position,postion_offset
1992/93,19,9,2,8,22,20,2,29,8,56.0,10.0,-0.5
1993/94,21,9,7,5,20,13,7,34,5,71.0,4.0,-3.0
1994/95,19,6,6,7,23,22,1,24,11,51.0,12.0,0.0
1995/96,18,8,7,3,23,12,11,31,6,63.0,5.0,-1.0
1996/97,17,10,5,2,34,16,18,35,2,68.0,3.0,-1.5
1997/98,18,8,6,4,32,21,11,30,5,78.0,1.0,-2.0
1998/99,17,6,8,3,17,10,7,26,6,78.0,2.0,0.0
1999/00,18,11,3,4,32,17,15,36,4,73.0,2.0,-1.0
2000/01,18,10,5,3,30,14,16,35,2,70.0,2.0,-0.5
2001/02,17,8,6,3,35,21,14,30,3,87.0,1.0,-1.0
2002/03,18,11,3,4,37,20,17,35,1,78.0,2.0,-1.5
2003/04,16,11,5,0,30,11,19,38,1,90.0,1.0,-0.5
2004/05,17,10,5,2,44,22,22,35,3,83.0,2.0,0.0
2005/06,16,8,2,6,22,15,7,26,8,67.0,4.0,0.5
2006/07,18,8,6,4,29,15,14,30,4,68.0,4.0,0.0
2007/08,17,12,4,1,34,14,20,40,1,83.0,3.0,0.5
2008/09,17,9,3,5,29,20,9,30,5,72.0,4.0,-1.0
2009/10,16,10,2,4,41,20,21,32,3,75.0,3.0,1.0
2010/11,17,10,2,5,24,13,11,32,2,68.0,4.0,0.5
2011/12,16,9,2,5,31,24,7,29,5,70.0,3.0,0.0
2012/13,17,7,6,4,31,18,13,27,5,73.0,4.0,1.0
2013/14,16,11,2,3,33,17,16,35,1,79.0,4.0,1.5
2014/15,16,7,5,4,28,19,9,26,6,75.0,3.0,1.0
2015/16,16,10,3,3,29,13,16,33,2,71.0,2.0,1.5
2016/17,17,10,4,3,38,19,19,34,4,75.0,5.0,1.0
2017/18,18,10,3,5,31,20,11,33,5,63.0,6.0,2.0
2018/19,17,10,4,3,37,23,14,34,5,70.0,5.0,3.0
2019/20,17,5,7,5,24,27,-3,22,10,56.0,8.0,0.0
2020/21,13,4,2,7,11,16,-5,14,15,,,0.0
